[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:02:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:02:41+08:00 ] /admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2014-02-18T14:03:40+08:00 ] /admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2014-02-18T14:03:46+08:00 ] /admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:05:05+08:00 ] /admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.031250s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.015625s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --START--
