[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001152s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001259s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000513s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000578s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000714s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000795s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008932s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009034s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000305s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000405s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000171s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000378s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001398s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000356s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000404s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001352s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001580s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000718s ]
[ 2014-11-06T10:57:58+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000812s ]
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --START--
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run CheckRoute Behavior [ RunTime:0.000906s ]
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --END-- [ RunTime:0.001029s ]
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ app_begin ] --START--
