[ 2014-02-18T13:51:10+08:00 ] /index.php | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.015625s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_end ] --START--
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T13:58:15+08:00 ] /index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:11:39+08:00 ] /index.php/Login/index | ERR: (ThinkException) 无法加载模块Login
[ 2014-02-18T14:11:48+08:00 ] /index.php/Login | ERR: (ThinkException) 无法加载模块Login
[ 2014-02-18T14:11:51+08:00 ] /index.php/Login | ERR: (ThinkException) 无法加载模块Login
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.015625s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:11:54+08:00 ] /index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.015625s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:04+08:00 ] /index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:22+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:13:22+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:13:22+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:13:22+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.015625s ]
